"name","url","pattern"
"Klaus-Peter Wolf - Ein mörderisches Paar. Das Versprechen","https://www.labirint.ru/books/980257/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Alfred Doblin - Jagende Rosse. Der schwarze Vorhang","https://www.labirint.ru/books/980275/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Judy Lin - A Venom Dark and Sweet. Was uns zusammenhält","https://www.labirint.ru/books/980291/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Beatrix Potter - Peter Hase Der Weihnachtswunsch","https://www.labirint.ru/books/980296/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Stephanie Schuster - Glückstöchter. Einfach leben","https://www.labirint.ru/books/980310/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Peter Prange - Zeit zu hoffen, Zeit zu leben 1933-1939. Band 1","https://www.labirint.ru/books/980316/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Henrik Ibsen - Nora oder Ein Puppenheim. Hedda Gabler","https://www.labirint.ru/books/980318/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"V. Schwab - Das unsichtbare Leben der Addie LaRue","https://www.labirint.ru/books/980325/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Jorge Bucay - Komm, ich erzahl dir eine Geschichte","https://www.labirint.ru/books/980328/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Beatrix Potter - Peter Hase Das Uberraschungspicknick","https://www.labirint.ru/books/980332/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Gabriel Marquez - Die Liebe in den Zeiten der Cholera","https://www.labirint.ru/books/980337/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Alfred Doblin - Wadzeks Kampf mit der Dampfturbine","https://www.labirint.ru/books/980342/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Klaus-Peter Wolf - OstfriesenKiller","https://www.labirint.ru/books/980354/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Valentin, Hennen - Der Unheiler","https://www.labirint.ru/books/980364/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Shinkai, Nagakawa - Das Geschenk eines Regentages","https://www.labirint.ru/books/980367/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Dagmar Bach - Zimt. Auf den ersten Sprung verliebt","https://www.labirint.ru/books/980377/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Graeme Simsion - Das Rosie-Resultat","https://www.labirint.ru/books/980389/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Khaled Hosseini - Traumsammler","https://www.labirint.ru/books/980393/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Arthur Schnitzler - Doktor Grasler, Badearzt","https://www.labirint.ru/books/980394/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Gabriel Marquez - Hundert Jahre Einsamkeit","https://www.labirint.ru/books/980396/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Chimamanda Adichie - Americanah","https://www.labirint.ru/books/980407/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
