"name","url","pattern"
"Крипяо Жре: Руконожковое ТароНа складе","https://www.labirint.ru/books/980133/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Цысинь Лю: О муравьях и динозаврах. Песня китаОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж. The Cretaceous Past or of Ants and Dinosaurs. The Whale Song","https://www.labirint.ru/books/980132/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Няннян Лин: Небесная собака. Том 1. Спасение души несчастного","https://www.labirint.ru/books/980131/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Сара Паркер: Кровь хрустального цветкаНа складе To Bleed a Crystal Bloom","https://www.labirint.ru/books/980130/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Иэн Бэнкс: ТранзицияОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж. Transition","https://www.labirint.ru/books/980129/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Гаврилова, Недотрога: Любимая адептка его величества. Книга 1Ожидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980128/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Ровена Бергман: Эксперимент","https://www.labirint.ru/books/980127/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"ван Рэйкенборг: Грядущий Новый ЧеловекНа складе De Komende Nieuwe Mens","https://www.labirint.ru/books/980126/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Виталий Волович: Полярные дневники участника секретных полярных экспедиций 1949-1955 ггНа складе","https://www.labirint.ru/books/980125/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Замки, дворцы и парки Германии. В двух томахОжидается .stat-qtip { top: 15px; position: absolute; left: -8px; width: 220px; z-index:2; opacity:0; animation: showqtip 6s ease-in-out 1s, showqtip2 6s ease-in-out 1s; transition: opacity .2s ease-in-out .2s; overflow:hidden; } .stat-qtip__hint { border-radius: 6px; display:block; font-size: 14px; font-weight:normal; line-height: 20px; padding: 6px 10px; position: absolute; background: #ffb900; color: #000; max-width: 250px; min-width: 120px; right: 0; top: 20px; } .stat-qtip__hint:before { border-radius: 2px; border-style: solid; border-width: 10px 14px 12px 12px; content: """"; position: absolute; top: -15px; border-color: transparent transparent #ffb900; left: 5px; } @keyframes showqtip{0%{opacity:0;}30%{opacity:1; }70%{opacity:1;}100%{opacity:0;}} @keyframes showqtip2{0%{overflow:visible;}99%{overflow:visible;}100%{overflow:hidden}} .prodtitle-availibility:hover .stat-qtip {opacity:1;overflow:visible} @media (max-width: 440px) { .stat-qtip { left: 26px; width: 100%; } } К сожалению, точные сроки поступления неизвестны. Отложите книгу, мы известим о начале продаж.","https://www.labirint.ru/books/980124/","(?<=\<span class=""buying-price-val-number""\>).*?(?=\<\/span\>)"
"Ольга Прокофьева: Тайны и истории кухни. Стол, посуда, этикетНа складе","https://www.labirint.ru/books/980123/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Павел Чичагов: ЗапискиНа складе","https://www.labirint.ru/books/980122/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Сибирская экспедиция РГО. 1855–1862На складе","https://www.labirint.ru/books/980121/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
"Медведь, Молошникова: ""И нарекоша граду имя Китай..."". Путешествие в прошлое Китайгородской крепостиНа складе","https://www.labirint.ru/books/980120/","(?<=\<span class=""buying-pricenew-val-number""\>).*?(?=\<\/span\>)"
